time,windspeed_10m,temperature_300hPa,cloudcover
2024-03-19T00:00,14.4,-28.1,61
2024-03-19T01:00,15.2,-28.3,79
2024-03-19T02:00,16.3,-28.5,96
2024-03-19T03:00,17.3,-28.8,100
2024-03-19T04:00,19.1,-28.9,83
2024-03-19T05:00,20.6,-29.0,54
2024-03-19T06:00,21.8,-29.0,30
2024-03-19T07:00,21.0,-29.0,20
2024-03-19T08:00,19.5,-28.9,15
2024-03-19T09:00,18.0,-28.8,12
2024-03-19T10:00,16.6,-28.8,8
2024-03-19T11:00,14.8,-28.6,5
2024-03-19T12:00,13.3,-28.5,4
2024-03-19T13:00,12.2,-28.4,4
2024-03-19T14:00,11.3,-28.1,5
2024-03-19T15:00,11.3,-28.0,7
2024-03-19T16:00,12.4,-28.0,8
2024-03-19T17:00,14.4,-28.0,9
2024-03-19T18:00,15.3,-28.1,13
2024-03-19T19:00,13.3,-28.2,21
2024-03-19T20:00,10.6,-28.4,33
2024-03-19T21:00,8.8,-28.5,44
2024-03-19T22:00,9.3,-28.5,57
2024-03-19T23:00,11.0,-28.6,70
2024-03-20T00:00,12.4,-28.8,78
2024-03-20T01:00,13.0,-28.9,79
2024-03-20T02:00,13.3,-28.9,75
2024-03-20T03:00,14.4,-29.0,67
2024-03-20T04:00,16.6,-29.1,53
2024-03-20T05:00,18.8,-29.3,36
2024-03-20T06:00,20.4,-29.4,22
2024-03-20T07:00,20.0,-29.2,14
2024-03-20T08:00,18.1,-29.0,9
2024-03-20T09:00,16.7,-28.9,9
2024-03-20T10:00,15.5,-28.6,17
2024-03-20T11:00,14.1,-28.3,30
2024-03-20T12:00,13.4,-28.1,37
2024-03-20T13:00,13.1,-28.0,30
2024-03-20T14:00,13.2,-28.0,16
2024-03-20T15:00,13.5,-28.0,7
2024-03-20T16:00,13.6,-28.0,7
2024-03-20T17:00,13.8,-28.2,12
2024-03-20T18:00,13.6,-28.4,18
2024-03-20T19:00,12.6,-28.5,25
2024-03-20T20:00,10.9,-28.5,33
2024-03-20T21:00,10.0,-28.6,40
2024-03-20T22:00,10.0,-28.7,45
2024-03-20T23:00,10.5,-28.9,50
2024-03-21T00:00,11.2,-29.0,56
2024-03-21T01:00,11.2,-29.4,69
2024-03-21T02:00,11.5,-29.7,84
2024-03-21T03:00,12.3,-30.0,90
2024-03-21T04:00,14.8,-30.1,79
2024-03-21T05:00,18.6,-30.2,57
2024-03-21T06:00,21.2,-30.2,38
2024-03-21T07:00,21.6,-30.0,23
2024-03-21T08:00,21.3,-29.6,9
2024-03-21T09:00,20.2,-29.4,0
2024-03-21T10:00,19.1,-29.2,0
2024-03-21T11:00,17.2,-29.1,0
2024-03-21T12:00,16.0,-29.0,0
2024-03-21T13:00,15.4,-28.8,1
2024-03-21T14:00,15.3,-28.5,2
2024-03-21T15:00,15.0,-28.4,4
2024-03-21T16:00,14.6,-28.5,7
2024-03-21T17:00,14.1,-28.6,10
2024-03-21T18:00,13.6,-28.7,14
2024-03-21T19:00,12.8,-28.7,17
2024-03-21T20:00,12.1,-28.7,20
2024-03-21T21:00,11.3,-28.7,24
2024-03-21T22:00,11.2,-28.9,31
2024-03-21T23:00,11.2,-29.0,38
